Country,IMF_billions,World_Bank
United States,26854.6,"25,462,700"
China,19373.59,"17,963,171"
Japan,4409.74,"4,231,141"
Germany,4308.85,"4,072,192"
India,3736.88,"3,385,090"
United Kingdom,3158.94,"3,070,668"
France,2923.49,"2,782,905"
Italy,2169.74,"2,010,432"
Canada,2089.67,"2,139,840"
Brazil,2081.24,"1,920,096"
Russia,2062.65,"2,240,422"
South Korea,1721.91,"1,665,246"
Australia,1707.55,"1,675,419"
Mexico,1663.16,"1,414,187"
Spain,1492.43,"1,397,509"
Indonesia,1391.78,"1,319,100"
Netherlands,1080.88,"991,115"
Saudi Arabia,1061.9,"1,108,149"
Turkey,1029.3,"905,988"
Switzerland,869.6,"807,706"
Taiwan,790.73,—
Poland,748.89,"688,177"
Argentina,641.1,"632,770"
Belgium,624.25,"578,604"
Sweden,599.05,"585,939"
Ireland,594.1,"529,245"
Thailand,574.23,"495,341"
Norway,554.1,"579,267"
Israel,539.22,"522,033"
Singapore,515.55,"466,789"
Austria,515.2,"471,400"
Nigeria,506.6,"477,386"
United Arab Emirates,498.98,"507,535"
Vietnam,449.09,"408,802"
Malaysia,447.03,"406,306"
Philippines,440.9,"404,284"
Bangladesh,420.52,"460,201"
Denmark,405.63,"395,404"
South Africa,399.02,"405,870"
Hong Kong,382.85,"359,839"
Egypt,378.11,"476,748"
Iran,367.97,"388,544"
Chile,358.56,"301,025"
Romania,348.9,"301,262"
Colombia,334.69,"343,939"
Czech Republic,330.48,"290,924"
Finland,301.67,"280,826"
Peru,268.24,"242,632"
Iraq,267.89,"264,182"
Portugal,267.72,"251,945"
New Zealand,251.97,"247,234"
Kazakhstan,245.7,"220,623"
Greece,239.3,"219,066"
Qatar,219.57,"237,296"
Algeria,206.01,"191,913"
Hungary,188.5,"178,789"
Kuwait,164.71,"184,558"
Ethiopia,156.08,"126,783"
Ukraine,148.71,"160,503"
Morocco,138.78,"134,182"
Slovakia,127.53,"115,469"
Ecuador,121.29,"115,049"
Dominican Republic,121.29,"113,642"
Puerto Rico,120.84,"113,435"
Kenya,118.13,"113,420"
Angola,117.88,"106,714"
Oman,104.9,"114,667"
Guatemala,102.31,"95,003"
Bulgaria,100.64,"89,040"
Venezuela,96.63,—
Uzbekistan,92.33,"80,392"
Luxembourg,86.97,"82,275"
Tanzania,85.42,"75,709"
Turkmenistan,82.65,—
Croatia,78.88,"70,965"
Lithuania,78.35,"70,334"
Costa Rica,77.78,"68,381"
Uruguay,77.31,"71,177"
Panama,77.26,"76,523"
Ivory Coast,77.05,"70,019"
Serbia,73.96,"63,502"
Belarus,73.54,"72,793"
